"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-06T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",32.76,"bereinigt"
"2024-01-06T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",5.96,"bereinigt"
"2024-01-06T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",5.14,"bereinigt"
"2024-01-06T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",49.86,"bereinigt"
"2024-01-06T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-06T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",5.27,"bereinigt"
"2024-01-06T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.8,"bereinigt"
"2024-01-06T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",8.85,"bereinigt"
"2024-01-06T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",51.45,"bereinigt"
"2024-01-06T00:00+0100","Zch_Heubeeribüel","PM10","d1","µg/m3",4.08,"bereinigt"
"2024-01-06T00:00+0100","Zch_Heubeeribüel","PM2.5","d1","µg/m3",3.5,"bereinigt"
"2024-01-06T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",66.31,"bereinigt"
"2024-01-06T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.08,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.26,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",10.72,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",3.54,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",15.08,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",32.32,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",6.26,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",5.32,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",42.37,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",7988.82,"bereinigt"
"2024-01-07T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",16.35,"bereinigt"
"2024-01-07T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",8.93,"bereinigt"
"2024-01-07T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",17.58,"bereinigt"
"2024-01-07T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",31.75,"bereinigt"
"2024-01-07T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",6.57,"bereinigt"
"2024-01-07T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",5.53,"bereinigt"
"2024-01-07T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",42.35,"bereinigt"
"2024-01-07T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-07T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",11220.58,"bereinigt"
